OBJECTID,COUNTY,CREATIONDATE,EDITDATE,COUNTYLABEL,Shape_Length,Shape_Area,,,,,
1,PEND OREILLE,,2016/12/20 16:37:02+00,Pend Oreille,983603.3151,39742587765,,,,,
2,STEVENS,,2016/12/20 16:37:02+00,Stevens,1603671.797,70747378951,,,,,
3,FERRY,,2016/12/20 16:37:02+00,Ferry,1291761.461,62927149369,,,,,
4,WHATCOM,,2016/12/20 16:37:02+00,Whatcom,1718318.347,60292476591,,,,,
5,OKANOGAN,,2016/12/20 16:37:02+00,Okanogan,2047256.642,1.48E+11,,,,,
6,SAN JUAN,,2016/12/20 16:37:02+00,San Juan,1882845.34,4904646920,,,,,
7,SKAGIT,,2016/12/20 16:37:02+00,Skagit,2013182.032,48374913244,,,,,
8,CLALLAM,,2016/12/20 16:37:02+00,Clallam,1542141.478,49181619873,,,,,
9,ISLAND,,2016/12/20 16:37:02+00,Island,1048698.265,5870272406,,,,,
10,DOUGLAS,,2016/12/20 16:37:02+00,Douglas,1339691.698,51535658433,,,,,
11,SPOKANE,,2016/12/20 16:37:02+00,Spokane,1020199.046,49706632179,,,,,
12,GRANT,,2016/12/20 16:37:02+00,Grant,1484319.022,77832688246,,,,,
13,LINCOLN,,2016/12/20 16:37:02+00,Lincoln,1170140.431,65213872195,,,,,
14,KITTITAS,,2016/12/20 16:37:02+00,Kittitas,1428467.321,65045308409,,,,,
15,GRAYS HARBOR,,2016/12/20 16:37:02+00,Grays Harbor,1547138.416,53733528162,,,,,
16,WHITMAN,,2016/12/20 16:37:02+00,Whitman,1287931.086,60727031339,,,,,
17,ADAMS,,2016/12/20 16:37:02+00,Adams,1088901.811,53816362472,,,,,
18,THURSTON,,2016/12/20 16:37:02+00,Thurston,1231069.843,20534184674,,,,,
19,YAKIMA,,2016/12/20 16:37:02+00,Yakima,1704901.404,1.20E+11,,,,,
20,PACIFIC,,2016/12/20 16:37:02+00,Pacific,1304383.574,26663111818,,,,,
21,LEWIS,,2016/12/20 16:37:02+00,Lewis,1398485.066,67950167809,,,,,
22,FRANKLIN,,2016/12/20 16:37:02+00,Franklin,962974.4875,35290331771,,,,,
23,GARFIELD,,2016/12/20 16:37:02+00,Garfield,805356.6084,20037722191,,,,,
24,BENTON,,2016/12/20 16:37:02+00,Benton,998389.5104,49107394596,,,,,
25,COLUMBIA,,2016/12/20 16:37:02+00,Columbia,796659.2134,24378346252,,,,,
26,WALLA WALLA,,2016/12/20 16:37:02+00,Walla Walla,927850.5632,36246189018,,,,,
27,ASOTIN,,2016/12/20 16:37:02+00,Asotin,637079.6508,17871352959,,,,,
28,WAHKIAKUM,,2016/12/20 16:37:02+00,Wahkiakum,416447.2907,7985814146,,,,,
29,COWLITZ,,2016/12/20 16:37:02+00,Cowlitz,873114.6017,32545871943,,,,,
30,SKAMANIA,,2016/12/20 16:37:02+00,Skamania,998258.3571,47049741318,,,,,
31,CLARK,,2016/12/20 16:37:02+00,Clark,645792.7331,18312145094,,,,,
32,KLICKITAT,,2016/12/20 16:37:02+00,Klickitat,1157519.904,53170184616,,,,,
33,JEFFERSON,,2016/12/20 16:37:02+00,Jefferson,2013594.019,50669467530,,,,,
34,MASON,,2016/12/20 16:37:02+00,Mason,1682322.444,27147633862,,,,,
35,KITSAP,,2016/12/20 16:37:02+00,Kitsap,1500102.52,11036472591,,,,,
36,SNOHOMISH,,2016/12/20 16:37:02+00,Snohomish,1316131.497,58673647680,,,,,
37,CHELAN,,2016/12/20 16:37:02+00,Chelan,1792174.622,83477316030,,,6981701,3371083,0.482845513
38,KING,,2016/12/20 16:37:02+00,King,1700953.586,61018561442,,,,,
39,PIERCE,,2016/12/20 16:37:02+00,Pierce,2251015.656,47111695149,,,,,
